timestamp,service,latency_p95,error_rate,cpu,memory,request_rate,restart_count,replica_gap,pod_ready,label
1774685929.1031024,frontend,126.32460356327424,0.031,0.3495067699795108,0.45447572739345465,48.751315613126515,1.0,0,1.0,0
1774685929.1031098,cartservice,130.60141325485364,0.031,0.3318535115904635,0.4652583495325508,47.58638291728139,1.0,0,1.0,0
1774685929.1031137,productcatalog,132.7264997379193,0.031,0.3317539927699225,0.46251590463324666,51.69794466881794,1.0,0,1.0,0
1774685929.103116,currencyservice,131.99258060381072,0.031,0.351123093579217,0.44231881504897924,47.75411590101288,1.0,0,1.0,0
1774685929.1031182,checkoutservice,130.61581156075775,0.031,0.3384892286862099,0.43736701968722236,54.42319148797587,1.0,0,1.0,0
1774685929.10312,adservice,134.29340346417771,0.031,0.35780509294561785,0.4552712294593444,47.28599068094443,1.0,0,1.0,0
1774685929.1031222,recommendservice,79.4610459379928,0.001,0.19325356335234503,0.38332994696133926,45.81349502864965,0.0,0,1.0,0
1774685929.103124,paymentservice,84.34023536971733,0.001,0.19140240699788758,0.3853246745715411,48.97395049012208,0.0,0,1.0,0
1774685929.103126,shippingservice,132.53257820848162,0.031,0.3635257811516161,0.46244095162799354,51.13512809168088,1.0,0,1.0,0
1774685929.1031275,emailservice,75.10805871348337,0.001,0.19040861955813587,0.41920626543831535,48.623592599274886,0.0,0,1.0,0
1774685934.1531262,frontend,129.18258304900763,0.031,0.3517642095565199,0.4557638177840003,54.86718246724575,1.0,0,1.0,0
1774685934.1531298,cartservice,127.58242428348122,0.031,0.3644840936104583,0.4310345795139066,49.07120610108742,1.0,0,1.0,0
1774685934.153132,productcatalog,132.66830473486226,0.031,0.35555400259092756,0.44191343692648083,53.60496748009369,1.0,0,1.0,0
1774685934.1531339,currencyservice,127.16368182355299,0.031,0.36282526337844184,0.4676218049945272,45.13341956090029,1.0,0,1.0,0
1774685934.1531353,checkoutservice,129.83392776027796,0.031,0.3640321701658191,0.45256343711713726,49.12640761808937,1.0,0,1.0,0
1774685934.153137,adservice,126.40681795466121,0.031,0.3490567270563274,0.4369196204505794,46.7782378589744,1.0,0,1.0,0
1774685934.1531384,recommendservice,76.21563510389831,0.001,0.2134173721119475,0.3990489161109809,46.65413825155291,0.0,0,1.0,0
1774685934.1531403,paymentservice,83.99748750786425,0.001,0.21053427231013722,0.3802502061257884,53.62959528724093,0.0,0,1.0,0
1774685934.153142,shippingservice,127.17812404201437,0.031,0.3653873454872079,0.4466563388998954,54.86530519956315,1.0,0,1.0,0
1774685934.1531434,emailservice,82.27381230198098,0.001,0.18731797162030284,0.39366584062606286,53.74106453400942,0.0,0,1.0,0
1774685939.2046962,frontend,134.49610976123486,0.031,0.33222466240933407,0.4537814988456125,52.072292049222035,1.0,0,1.0,0
1774685939.2047002,cartservice,134.00583378751244,0.031,0.33217154411949634,0.4679566639956313,47.778480480475196,1.0,0,1.0,0
1774685939.2047024,productcatalog,129.2459861091185,0.031,0.3399524770292826,0.43114139895873516,47.78041632103048,1.0,0,1.0,0
1774685939.2047045,currencyservice,130.86821191326774,0.031,0.3560642293019422,0.44862549028256926,53.765525568807135,1.0,0,1.0,0
